GI	OM	Gender	Age	EnrolmentFeeInCOP	PlaceOfOrigin	TypeOfHighSchool	GeneralTestScore	Biology	HistoryAndGeography	Philosophy	Phisics	English	Language	Math	Chemistry	NumberOfSemesters	Censored	NumberOfCoursesPassed
115	21	0	24,3	883740	0	0	49,4	51,9	48	44,3	53,5	40,9	51,1	42,4	55,6	7	1	32
97	7	1	22,9	476029	1	0	49,4	51	54	40	35	47	62	46	44	5	1	22
85	17	0	20,9	449904	0	0	48,7	58	44	45	41	27	49	35	41	7	1	23
104	22	1	22,1	449904	1	0	53,3	58	57	48	51	43	50	53	49	7	1	32
64	9	1	22	449904	0	0	48,6	55,1	45,8	45,2	47	43,5	40,1	45,4	36,1	7	1	25
59	21	1	26,3	436360	1	0	41,1	40,9	46,8	41,1	38,6	42,2	42,8	40,8	39	6	1	21
88	5	0	19,8	431158	0	0	45,3	45	47	23	47	49	45	56	55	6	1	17
76	17	0	24,5	393666	0	0	47,8	51,1	37,4	46,6	42,1	43,5	48,4	34,7	49,4	5	1	12
130	23	0	20,3	449904	0	0	49,4	51	47	17	47	39	62	69	52	7	1	21
67	15	0	21,8	431158	1	0	50,7	50,4	48,9	50,9	37,9	56,1	53,5	42,5	52,1	7	1	38
70	9	0	26,4	412412	1	0	42,1	42,5	43,1	40,4	46,6	43	37,6	42,6	45,1	1	0	0
100	24	0	20,6	431158	0	0	51,5	59	47	54	49	34	49	45	38	7	1	27
82	24	0	19,9	449904	0	0	49,7	55	48	45	45	41	43	55	38	7	1	34
121	25	0	21,5	449904	0	0	50,1	49,7	55,1	51,2	45,5	45,6	53,5	52,4	49,5	7	1	30
88	12	0	22	112476	0	0	59	69	46	69	60	43	50	49	34	1	0	1
94	23	0	21,4	449904	0	0	45,8	51	42	33	47	36	53	45	41	5	1	25
72	24	0	21,4	431158	0	0	48,9	55	44	41	31	39	49	38	47	2	0	4
133	18	0	19,9	449904	0	0	50,2	48	56	23	55	52	68	64	55	7	1	26
116	18	0	20,4	431158	0	0	50,6	51	44	53	52	43	41	51	63	7	1	33
102	25	0	28,7	436360	0	0	50,7	49,9	55,01	61,7	42,5	36,8	64,4	39,7	44,8	7	1	26
120	10	0	21,8	1285440	0	1	60,7	57,8	64,5	48,7	60,8	52,5	65	72,1	63,9	7	1	34
126	14	1	20,4	449904	0	0	56,3	59	51	53	35	43	62	64	47	6	1	19
85	16	1	20,8	127508	0	0	48,7	44	36	53	45	71	46	51	50	3	0	8
106	15	1	21,7	449904	1	0	56,5	64	43,9	50,9	42,7	53,7	50,5	58,1	46,7	6	1	24
162	26	1	21,6	923910	0	1	69,1	77	59	49	60	53	77	75	59	1	0	5
78	15	1	20,8	449904	0	0	51,8	58	49	37	45	39	53	51	50	5	1	16
119	25	0	20,3	456194	0	0	50,9	45	50	53	47	43	46	56	62	7	1	33
92	13	0	21	431158	0	0	54,5	63	51	49	35	34	53	49	50	1	0	3
135	22	0	20,9	1231880	0	1	57,6	63	55	53	56	50	63	59	47	7	1	38
105	19	0	20,4	431158	0	0	53,6	58	56	49	45	45	62	55	44	7	1	38
119	25	0	23,9	883740	1	0	56,2	55	49	60	60	50	62	63	50	2	0	6
116	21	1	20,6	431158	1	0	59,8	68	41	59	51	53	69	53	46	3	0	9
112	29	0	20,9	964080	0	0	63,1	63,2	57,6	51,9	60,8	52,1	74	69	61,4	7	1	26
150	30	1	22,2	449904	0	0	53,8	52,8	39,7	39,8	55,9	49,6	46,1	67	57,9	6	1	18
107	12	0	21,7	431158	0	0	58,6	55	55	60	49	45	69	59	63	7	1	28
114	10	0	20	456194	0	0	50,2	48	56	54	56	47	53	49	53	1	0	5
132	20	0	21,2	431158	1	0	66,9	90	56	45	45	45	77	39	53	7	1	26
114	17	1	20,4	449904	0	0	51,9	51	47	69	39	36	62	56	41	7	1	28
129	28	0	21,2	431158	0	0	61,3	66	66,9	60,8	66,9	62,1	67,9	50,8	56,6	1	0	5
139	15	0	33,9	1847820	1	1	54,2	48	64	69	49	61	68	55	50	2	0	6
132	23	1	21,2	431158	0	0	54,5	55	49	40	43	56	57	60	55	7	1	33
127	26	1	20,8	431158	0	0	55,1	51	57	69	75	47	54	60	55	7	1	31
104	21	0	22,1	431158	0	0	56,8	60,5	48,3	45,2	48	50,1	59,4	53	63,9	2	0	6
132	23	1	20,7	449904	0	0	57,6	59	54	49	75	49	53	69	55	4	0	18
121	15	1	21	431158	0	0	55,5	55	55	60	52	45	58	63	50	3	0	7
97	20	1	20,9	449904	0	0	55,6	68	61	23	59	43	57	52	52	3	0	5
109	22	0	20,7	449904	0	0	53,7	59	48	44	39	41	54	52	52	7	1	31
138	25	1	21,1	476029	0	0	51,8	51	64	45	65	36	62	59	50	2	0	9
113	22	0	21	431158	0	0	55	55	54	84	37	41	49	51	50	7	1	39
103	8	0	21,7	449904	0	0	52,7	48	61	48	55	43	57	56	62	7	1	38
103	12	1	25	393666	0	0	40,6	39,2	30,1	47,3	46,4	45,7	40,6	39,4	39,8	2	0	4
127	22	1	21	431158	1	0	63,8	77	51	54	60	49	57	59	53	1	0	4
148	22	1	21	449904	0	0	62,4	77	66	54	56	55	58	63	41	7	1	37
125	28	1	20,4	2040120	0	1	60	68	57	48	55	56	54	69	52	5	1	15
124	18	1	20,6	431158	0	0	65,7	51	41	45	56	49	63	85	59	7	1	24
140	31	1	21,8	449904	1	0	62,5	63,2	67,2	50,9	63,9	50,9	67,8	63	59	2	0	9
157	25	0	20,6	4499	0	0	74	68	63	69	70	66	63	85	53	7	1	45
141	23	0	21,7	215579	1	0	69,7	51	55	53	65	49	63	85	59	2	0	9
153	31	1	21,8	431158	0	0	76,9	64	69,6	74	66,7	88,9	77,1	82,9	67	7	1	26
138	26	0	20,7	431158	0	0	61,6	76	65	60	65	61	63	59	63	7	1	29
151	26	0	19,9	431158	0	0	66,5	76	61	53	65	56	62	75	59	7	1	44
127	22	1	24,8	449904	0	0	62,4	69,7	48,3	51,9	63,7	53,7	62,2	69	40,3	7	1	28
143	24	1	20,3	431158	1	0	61,9	51	82	53	65	50	62	59	47	7	1	41
90	20	1	22,1	456194	1	1	51,8	63	47	44	47	47	57	56	52	3	0	4
67	17	1	20	449904	1	0	76,7	68	54	53	76	36	57	101	75	7	1	24
141	26	1	20,1	449904	0	0	62,5	58	68	59	55	56	69	64	58	7	1	46
143	29	1	22,2	2463760	0	0	63,6	54,1	68,5	59,4	57,8	57,3	58,3	69,1	57	7	1	47
142	27	1	20,7	449904	0	0	60,2	51	49	53	59	47	68	64	46	5	1	16
147	21	1	20,1	431158	0	0	62	68	60	53	59	52	58	69	55	3	0	13
107	20	1	20,8	456194	0	0	59,5	48	52	41	65	50	63	63	50	6	1	26
155	28	1	21,7	449904	1	0	64	49,5	67,2	56,8	54,3	56,8	53,5	74,6	66,5	7	1	31
128	28	1	21	112476	0	0	64,1	63	65	53	60	55	69	68	50	7	1	33
124	23	1	20,7	449904	0	0	61,4	69	68	60	52	58	78	59	59	7	1	32
129	22	1	20,7	476029	0	0	60,8	59	57	54	52	52	63	68	53	6	1	32
140	29	1	20,1	449904	0	0	61,1	48	50	53	47	45	58	76	44	7	1	34
124	22	1	24,1	476029	1	0	60,4	68	72	53	63	52	58	60	59	7	1	29
166	28	1	22,5	412412	1	0	61,6	59	77	60	52	71	69	59	59	7	1	38
104	23	1	20,6	107790	0	0	60	55	60	53	60	56	58	63	47	6	1	22
131	24	1	21,4	112476	0	0	63,2	34	50	44	59	43	63	76	41	1	0	0
101	17	1	20,3	4562	0	0	61,2	59	62	49	56	45	63	68	67	7	1	28
172	31	1	20,6	431158	0	0	61,9	58	65	53	55	68	54	69	74	7	1	32
